time,tx,cpu_util
1587468557798,26252,93.701900
1587468558800,21167,96.142433
1587468560203,24345,92.247699
1587468561215,22903,96.935585
1587468562538,22363,92.736115
1587468563542,23072,97.077769
1587468564704,20428,93.402451
1587468565705,21116,95.339714
1587468567351,29261,92.470257
1587468568353,23298,96.820225
1587468569749,23112,92.506662
1587468570750,23074,96.684910
1587468572034,21733,92.976432
1587468573045,22508,96.079350
1587468574498,24982,92.411839
1587468575498,22366,97.429239
1587468576713,21280,93.147886
1587468577716,21536,96.110280
1587468579186,24329,92.349984
1587468580189,23236,95.895115
1587468581191,16368,94.210195
1587468582194,20176,94.359135
1587468583198,20006,96.439774
1587468584201,16824,94.831510
1587468586338,40023,91.896579
1587468587339,22822,95.611973
1587468588341,15995,92.346377
1587468589342,19023,94.196989
1587468590345,20148,95.712721
1587468591346,16264,92.528195
1587468592352,23295,97.731184
1587468593354,16519,93.682055
1587468594355,20909,95.094637
1587468595356,18819,95.727031
1587468596360,17619,95.689329
1587468598451,38310,92.185535
1587468599453,23003,96.150837
1587468600462,17142,94.027974
1587468601465,19484,94.664372
1587468603220,31376,92.851544
1587468604221,22077,95.847046
1587468605224,17804,94.530889
1587468606239,18868,95.771704
1587468608190,35543,92.604857
1587468609192,22619,96.371348
1587468610193,17427,95.671946
1587468611194,18380,93.636793
1587468612197,21141,98.533999
1587468613222,16233,92.630261
1587468614229,22794,96.478873
1587468615231,17875,95.909732
1587468616232,18440,95.527444
1587468618510,42718,92.201040
1587468619516,23264,96.596940
1587468621051,25839,92.364262
1587468622054,22852,95.124253
1587468623056,16833,94.833832
1587468624057,17871,93.338583
1587468625058,21664,98.499062
1587468626059,16011,93.158890
1587468627061,22151,95.394737
1587468628063,18165,95.817669
1587468629063,17173,92.569368
1587468630069,22716,98.541634
1587468631399,21740,95.257474
1587468632404,23716,96.632043
1587468633406,18525,94.929356
1587468634407,17130,92.273731
1587468635408,22405,98.338558
1587468636707,20376,91.755990
1587468637710,22709,96.761785
