time,tx
1585069546734,7893
1585069547732,7844
1585069548733,7731
1585069549733,7652
1585069550732,7681
1585069551734,7685
1585069552732,7686
1585069553732,7706
1585069554732,7652
1585069555732,7714
1585069556732,7701
1585069557732,6700
1585069558732,5390
1585069559733,5432
1585069560732,6172
1585069561737,3630
1585069562733,7585
1585069563732,7859
1585069564732,7924
1585069565732,7923
1585069566733,7940
1585069567734,7922
1585069568732,7895
1585069569733,7881
1585069570735,7938
1585069571732,7878
1585069572732,7920
1585069573733,6839
1585069574732,5809
1585069575733,5969
1585069576732,5745
1585069577732,7791
1585069578733,7917
1585069579733,7852
1585069580735,7918
1585069581732,7865
1585069582732,7286
1585069583732,7764
1585069584733,7845
1585069585733,7924
1585069586732,7901
1585069587734,7916
1585069588734,7913
1585069589734,7602
1585069590732,5872
1585069591733,5848
1585069592732,5841
1585069593732,6005
1585069594732,7350
1585069595732,7847
1585069596732,7833
1585069597734,7867
1585069598732,7834
1585069599732,7852
1585069600732,7892
1585069601732,7860
1585069602733,7912
1585069603733,7897
1585069604732,7824
1585069605732,7893
1585069606731,7897
1585069607732,6755
1585069608732,6033
1585069609732,6082
1585069610731,5691
1585069611731,6109
1585069612732,7806
1585069613731,7884
1585069614735,7865
1585069615731,7870
1585069616734,7916
1585069617732,7892
1585069618731,7896
1585069619732,7815
1585069620732,7819
1585069621734,7904
1585069622731,7884
1585069623732,7900
1585069624732,7822
1585069625733,6398
1585069626733,6035
1585069627731,5768
1585069628731,5943
1585069629731,6350
1585069630731,7883
1585069631731,7886
1585069632732,7881
1585069633732,7891
1585069634732,7814
1585069635732,7888
1585069636731,7866
1585069637731,7863
1585069638734,7903
1585069639732,7772
1585069640732,7879
1585069641731,7841
1585069642731,7854
1585069643732,6705
1585069644732,5497
1585069645734,5773
1585069646731,5705
1585069647733,6578
1585069648732,7773
1585069649731,7721
1585069650731,7725
1585069651733,7756
1585069652731,7775
1585069653731,7771
1585069654733,7747
1585069655731,7727
1585069656735,4244
1585069657733,6913
1585069658734,7936
1585069659733,7855
1585069660731,7920
1585069661734,7715
1585069662731,5900
1585069663731,6003
1585069664731,6061
1585069665731,6124
1585069666731,6090
1585069667733,7459
1585069668731,7668
1585069669731,7860
1585069670731,7868
1585069671731,7824
1585069672731,7888
1585069673731,7656
1585069674731,7256
1585069675732,7803
1585069676731,7840
1585069677732,7865
1585069678731,7906
1585069679731,7871
1585069680731,7847
1585069681731,7583
1585069682732,6165
1585069683732,6219
1585069684732,6163
1585069685733,6109
1585069686731,5885
1585069687731,6020
1585069688731,7616
1585069689731,7841
1585069690731,7869
1585069691731,7849
1585069692731,7873
1585069693731,7825
1585069694732,7854
1585069695732,7811
1585069696731,7831
1585069697731,7846
1585069698739,7910
1585069699731,7700
1585069700731,7872
1585069701731,7891
1585069702731,7927
1585069703731,6120
1585069704731,6352
1585069705731,6203
1585069706732,6300
1585069707731,6046
1585069708733,6031
1585069709732,7132
1585069710731,7754
1585069711731,7821
1585069712732,7845
1585069713731,7831
1585069714731,7818
1585069715731,7873
1585069716735,7922
1585069717731,7855
1585069718735,7834
1585069719733,7805
1585069720731,7850
1585069721738,7944
1585069722731,7837
1585069723735,7939
1585069724731,7234
1585069725733,6096
1585069726732,6351
1585069727731,6393
1585069728736,6340
1585069729731,6124
1585069730731,6059
1585069731731,7224
1585069732731,7841
1585069733731,7786
1585069734736,7850
1585069735731,7804
1585069736732,7843
1585069737732,7849
1585069738731,7854
1585069739732,7820
1585069740733,7748
1585069741731,7806
1585069742735,7875
1585069743731,7814
1585069744731,7844
1585069745731,7819
1585069746731,7790
1585069747737,6020
1585069748733,5844
1585069749731,5702
1585069750731,5897
1585069751732,6002
1585069752734,7406
1585069753735,7808
1585069754738,7762
1585069755737,7793
1585069756733,7773
1585069757737,7787
1585069758731,7706
1585069759740,4437
1585069760731,6365
1585069761730,7861
1585069762731,7872
1585069763731,7884
1585069764731,7856
1585069765732,7838
1585069766731,7869
1585069767731,7886
1585069768732,6834
1585069769730,6094
1585069770731,6131
1585069771731,6225
1585069772731,6287
1585069773731,6442
1585069774733,6399
1585069775730,7034
1585069776731,7869
1585069777731,7892
1585069778731,7881
1585069779730,7817
1585069780731,7869
1585069781731,7854
1585069782735,7905
1585069783730,7811
1585069784731,7816
1585069785730,7873
1585069786731,7867
1585069787738,7920
1585069788730,7817
1585069789731,7820
1585069790730,7869
1585069791731,7701
1585069792737,6383
1585069793730,6315
1585069794731,6425
1585069795730,5788
1585069796730,5451
1585069797734,6420
1585069798736,6360
1585069799733,5659
1585069800731,6669
1585069801731,7193
1585069802738,7891
1585069803731,7797
1585069804731,7784
1585069805731,7848
1585069806731,7839
1585069807730,7766
1585069808730,7810
1585069809730,7786
1585069810731,7816
1585069811731,7687
1585069812730,7836
1585069813734,7883
1585069814733,7788
1585069815731,7835
1585069816731,7844
1585069817730,7445
1585069818730,6430
1585069819730,6404
1585069820730,6381
1585069821731,6356
1585069822730,6420
1585069823731,6350
1585069824731,6312
1585069825730,6181
1585069826732,7597
1585069827730,7831
1585069828730,7854
1585069829731,7796
1585069830730,7801
1585069831737,7931
1585069832730,7838
1585069833737,7945
1585069834737,7844
1585069835735,7841
1585069836740,7868
1585069837730,7198
1585069838731,7226
1585069839736,7311
1585069840731,7196
1585069841736,7127
1585069842730,7503
1585069843730,6969
1585069844730,6186
1585069845737,5871
1585069846730,5850
1585069847738,6367
1585069848730,6343
1585069849730,6361
1585069850730,6448
1585069851730,5970
1585069852730,5491
1585069853730,6786
1585069854730,7180
1585069855731,7769
1585069856731,7724
1585069857730,7782
1585069858731,7717
1585069859730,7756
1585069860730,7711
1585069861732,7744
1585069862730,7698
1585069863730,7746
1585069864736,7743
1585069865730,7705
1585069866730,7757
1585069867730,7730
1585069868730,7762
1585069869738,7747
1585069870734,1770
